id,name,facility_id,floor,building,capacity,room_type
room-101,Room 101 - Mrs. Johnson,facility-001,1,Main Building,25,classroom
room-102,Room 102 - Mr. Davis,facility-001,1,Main Building,25,classroom
room-103,Room 103 - Ms. Garcia,facility-001,1,Main Building,25,classroom
room-104,Main Office,facility-001,1,Main Building,10,office
room-105,Nurse's Office,facility-001,1,Main Building,5,medical
room-106,Cafeteria,facility-001,1,Main Building,200,cafeteria
room-201,Room 201 - Mrs. Chen,facility-001,2,Main Building,25,classroom
room-202,Room 202 - Mr. Brown,facility-001,2,Main Building,25,classroom
room-203,Science Lab,facility-001,2,Main Building,30,lab
room-204,Art Room,facility-001,2,Main Building,25,classroom
room-205,Library,facility-001,2,Main Building,50,library
gym-001,Gymnasium,facility-001,1,Gymnasium,300,gym
port-001,Portable 1 - Ms. Lee,facility-001,1,Portable Classrooms,20,classroom
port-002,Portable 2 - Mr. Wilson,facility-001,1,Portable Classrooms,20,classroom
