id,facility_id,name,from_zone,to_zone,route_type,is_accessible,status,notes
route-001,facility-001,Floor 1 East to Front Exit,Floor 1 East,Exit 1 - Front Main,evacuation,true,open,Primary route for rooms 101-103
route-002,facility-001,Floor 1 West to West Exit,Floor 1 West,Exit 3 - West Wing,evacuation,true,open,Route for cafeteria and west rooms
route-003,facility-001,Floor 1 East to East Exit,Floor 1 East,Exit 2 - East Wing,evacuation,true,open,Alternate route for east wing
route-004,facility-001,Cafeteria to Parking,Cafeteria,Exit 4 - Cafeteria,evacuation,true,open,Direct exit from cafeteria
route-005,facility-001,Floor 2 East Stairwell,Floor 2 East,Exit 2 - East Wing,evacuation,false,open,Stairs only - not wheelchair accessible
route-006,facility-001,Floor 2 West Stairwell,Floor 2 West,Exit 3 - West Wing,evacuation,false,open,Stairs only - not wheelchair accessible
route-007,facility-001,Floor 2 Elevator to Floor 1,Floor 2,Floor 1 East,evacuation,true,open,Accessible evacuation - use only if elevator is safe
route-008,facility-001,Gymnasium to Field,Gymnasium,Assembly Point B - Field,evacuation,true,open,Direct exit to athletic field
route-009,facility-001,Portable to East Lot,Portable Classrooms,Assembly Point C - Portable,evacuation,true,open,Short walk to assembly
route-010,facility-001,Front Exit to Assembly A,Exit 1 - Front Main,Assembly Point A - Front,evacuation,true,open,Primary assembly route
route-011,facility-001,East Exit to Assembly A,Exit 2 - East Wing,Assembly Point A - Front,evacuation,true,open,Walk around to front lot
route-012,facility-001,West Exit to Assembly A,Exit 3 - West Wing,Assembly Point A - Front,evacuation,true,open,Walk around to front lot
